Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
5618;10;Gyraulus;costulatus;;Zimbabwe;Gwebi River, 5 miles from Harare (Harare (Salisbury)) to Muzve;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;246;;;;
5619;10;Gyraulus;costulatus;;Zimbabwe;Monyongo River, Harare (Harare (Salisbury));Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Brown;14;1;1960;;;;(Clarke ded);;
5620;10;Gyraulus;costulatus;;Zimbabwe;Nyarungwe River, pipes;Nyarungwe River;;;-17.58333;29.31667;River;Cridland;;5;1962;;50;;;;
5621;10;Gyraulus;costulatus;;Zimbabwe;Gwebi River, 25 miles from Harare (Harare (Salisbury)) to Chirundu;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1962;;29;;;;
5622;10;Gyraulus;costulatus;;Zimbabwe;Musengezi River (affl. Of Zambezi);Musengezi River;;;-17.88333;29.90000;River;Harrison;;;1963;;;;Cridland 146;;
5623;10;Gyraulus;costulatus;;Zimbabwe;Sarui River, at Selons (Bulawayo road);Selous;18° 4' 60S;30° 26' 60E;-18.08330;30.45000;River;Cridland;;;1964;;341;;;;
5624;10;Gyraulus;costulatus;;Zimbabwe;Cleveland Dam 6 miles from Harare (Harare (Salisbury)) to Beira;Cleveland ;;;;;Dam;Cridland;;5;1962;;35;;;;
5625;10;Gyraulus;costulatus;;Zimbabwe;Little Mazor River 30 miles from Harare (Harare (Salisbury));Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;252;;;;
5626;10;Gyraulus;costulatus;;Zimbabwe;Small River 10 miles from Harare to Beira ;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;271;;;;
5627;10;Gyraulus;costulatus;;Zimbabwe;Nyarungwe River, Ford;Nyarungwe River;;;-17.58333;29.31667;River;Cridland;;5;1962;;48;;;;
5628;10;Gyraulus;costulatus;;Zimbabwe;Mazoe Dam;Mazoe;17° 28' 0S;30° 55' 0E;-17.46670;30.91670;Dam;Cridland;;;1963;;149;;;;
5629;10;Gyraulus;costulatus;;Zimbabwe;Lake McJlwaine (Preparation Creek);Lake Mcilwaine;17°54'0'' S;30°48'0'' E;;;Lake;Cridland;;5;1962;;44;;;;
5630;10;Gyraulus;costulatus;;Zimbabwe;Rainham Stream 10 miles from Harare to Bulaway;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;Stream;Cridland;;5;1962;;39;;;;
5631;10;Gyraulus;costulatus;;Zimbabwe;Umwindsi River, 20 miles from Harare;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;260;;;;
5632;10;Gyraulus;costulatus;;Zimbabwe;Nyagui River 35 miles from Harare;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1964;;334;;;;
5633;10;Gyraulus;costulatus;;Zimbabwe;Lake McJlwaine (Clanthyd bank);Lake Mcilwaine;17°54'0'' S;30°48'0'' E;;;Lake;Cridland;;5;1962;;40;;;;
5634;10;Gyraulus;costulatus;;Zimbabwe;Affluent of Gwebi River ;Gwebi River ;;;;;River;Cridland;;5;1962;;30;;;;
5635;10;Gyraulus;costulatus;;Zimbabwe;Manyongo River 10 miles from Harare;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;257;;;;
5636;10;Gyraulus;costulatus;;Zimbabwe;Sarui River at Selous;Selous;18° 4' 60S;30° 26' 60E;-18.08330;30.45000;River;Cridland;;7;1963;;144;;;;
5637;10;Gyraulus;costulatus;;Zimbabwe;Hungani River 15 miles from Harare;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;270;;;;
5638;10;Gyraulus;costulatus;;Zimbabwe;Nyarungwe River, ford;Nyarungwe River;;;-17.58333;29.31667;River;Cridland;;5;1962;;48;;;;
5639;10;Gyraulus;costulatus;;Zimbabwe;Gwebi River 25 miles from Harare to Chirundu;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;5;1962;;28;;;;
5640;10;Gyraulus;costulatus;;Zimbabwe;Musitkwe, small Pond with water lilies;Musitkwe;17° 44' 30S;30° 56' 20E;-17.74170;30.93890;Pond;Cridland;;7;1963;;119;;;;
5641;10;Gyraulus;costulatus;;Zimbabwe;Mazoe Dam, near Shamva;Shamva;17° 18' 56S;31° 34' 14E;-17.31560;31.57060;Dam;Cridland;;5;1962;;24;;;;
5642;10;Gyraulus;costulatus;;Zimbabwe;Makabusi River 5 miles from Harare;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;255;;;;
5643;10;Gyraulus;costulatus;;Zimbabwe;Musitkwe Dam near Melfort;Melfort;17° 59' 43S;31° 19' 10E;-17.99530;31.31940;Dam;Cridland;;5;1962;;33;;;;
5644;10;Gyraulus;costulatus;;Zimbabwe;Sebakwe River, between Enkololoorn and Umvuma;Enkololoorn;;;;;River;Alves;11;11;1956;;;;;;
5645;10;Gyraulus;costulatus;;Zimbabwe;Gwebi River tributary  ;Gwebi River ;;;;;River;Cridland;;7;1963;;102;;;;
